,hockey_score_total_away,hockey_score_total_home,hockey_away_winner,hockey_home_winner,hockey_team_1,isaway1,hockey_team_2,isaway2,hockey_score_away,hockey_score_home,hockey_ml_away,hockey_ml_home,hockey_spread_line_away,hockey_spread_line_home,hockey_spread_line_away_money,hockey_spread_line_home_money,hockey_spread_line_away_delta,hockey_spread_line_home_delta,hockey_over,hockey_over_money,hockey_under_money,hockey_over_money_delta,hockey_under_money_delta,hockey_over_delta,hockey_date_updated
393,2,1,1,0,Pittsburgh Penguins,True,New York Islanders,False,"[0, 0, 1, 0, 1]","[0, 1, 0, 0, 0]",-130.0,120.0,-1.5,1.5,190.0,-210.0,-5.0,5.0,6.5,100.0,-110.0,205.0,-5.0,0.0,2018-12-10T23:02:57.828512Z
394,2,4,0,1,Dallas Stars,True,Vegas Golden Knights,False,"[1, 0, 1]","[1, 2, 1]",140.0,-150.0,1.5,-1.5,-220.0,200.0,5.0,-5.0,6.0,101.0,-111.0,206.0,-6.0,0.0,2018-12-10T01:11:41.221315Z
395,1,3,0,1,Los Angeles Kings,True,Detroit Red Wings,False,"[0, 0, 1]","[1, 2, 0]",105.0,-115.0,1.5,-1.5,-275.0,250.0,-10.0,5.0,5.5,111.0,-121.0,1.0,-1.0,0.0,2018-12-10T21:33:50.537158Z
396,1,1,0,1,Calgary Flames,True,Edmonton Oilers,False,"[0, 0, 0]","[1, 0, 0]",134.0,-144.0,1.5,-1.5,-190.0,175.0,5.0,-5.0,6.0,-115.0,105.0,-12.0,212.0,0.0,2018-12-10T02:06:23.105086Z
397,2,5,0,1,New Jersey Devils,True,San Jose Sharks,False,"[1, 1, 0]","[2, 2, 1]",165.0,-175.0,1.5,-1.5,-155.0,145.0,7.0,-7.0,6.0,-127.0,117.0,-2.0,2.0,0.0,2018-12-10T18:59:53.365101Z
398,2,6,0,1,Detroit Red Wings,True,Washington Capitals,False,"[0, 0, 2]","[3, 2, 1]",243.0,-263.0,1.5,-1.5,-101.0,-109.0,2.0,-2.0,6.0,-116.0,106.0,-2.0,2.0,0.0,2018-12-12T00:39:11.439306Z
399,3,4,0,1,Los Angeles Kings,True,Buffalo Sabres,False,"[1, 2, 0, 0]","[1, 0, 2, 1]",153.0,-163.0,1.5,-1.5,-168.0,158.0,2.0,-2.0,5.5,105.0,-115.0,5.0,-5.0,0.0,2018-12-11T22:59:00.61756Z
400,4,1,1,0,Toronto Maple Leafs,True,Carolina Hurricanes,False,"[1, 1, 2]","[0, 1, 0]",-130.0,120.0,-1.5,1.5,205.0,-225.0,-15.0,15.0,6.0,-113.0,103.0,-2.0,2.0,0.0,2018-12-12T00:06:23.5239Z
401,3,6,0,1,New York Rangers,True,Tampa Bay Lightning,False,"[2, 0, 1]","[1, 2, 3]",223.0,-243.0,1.5,-1.5,105.0,-115.0,5.0,-5.0,6.5,-116.0,106.0,-1.0,1.0,0.0,2018-12-10T21:10:16.657476Z
402,3,2,1,0,Vancouver Canucks,True,Columbus Blue Jackets,False,"[0, 0, 3]","[1, 0, 1]",175.0,-190.0,1.5,-1.5,-143.0,133.0,2.0,-2.0,6.0,-123.0,113.0,2.0,-2.0,0.0,2018-12-11T23:28:10.763934Z
403,2,1,1,0,Pittsburgh Penguins,True,New York Islanders,False,"[0, 0, 1, 0, 1]","[0, 1, 0, 0, 0]",-130.0,120.0,-1.5,1.5,190.0,-210.0,-5.0,5.0,6.5,100.0,-110.0,205.0,-5.0,0.0,2018-12-10T23:02:57.828512Z
404,3,4,0,1,Arizona Coyotes,True,Boston Bruins,False,"[2, 1, 0]","[0, 4, 0]",159.0,-169.0,1.5,-1.5,-160.0,150.0,3.0,-3.0,5.5,112.0,-122.0,2.0,-2.0,0.0,2018-12-11T21:17:15.039821Z
405,1,3,0,1,Los Angeles Kings,True,Detroit Red Wings,False,"[0, 0, 1]","[1, 2, 0]",105.0,-115.0,1.5,-1.5,-275.0,250.0,-10.0,5.0,5.5,111.0,-121.0,1.0,-1.0,0.0,2018-12-10T21:33:50.537158Z
406,1,3,0,1,Ottawa Senators,True,Nashville Predators,False,"[1, 0, 0]","[1, 1, 1]",230.0,-250.0,1.5,-1.5,-106.0,-104.0,-1.0,1.0,6.0,-110.0,100.0,5.0,205.0,0.0,2018-12-11T15:16:23.843465Z
407,1,7,0,1,Montreal Canadiens,True,Minnesota Wild,False,"[0, 0, 1]","[1, 4, 2]",157.0,-167.0,1.5,-1.5,-175.0,165.0,-2.0,2.0,6.0,-110.0,100.0,-5.0,205.0,0.0,2018-12-11T15:07:10.74975Z
408,2,6,0,1,Detroit Red Wings,True,Washington Capitals,False,"[0, 0, 2]","[3, 2, 1]",243.0,-263.0,1.5,-1.5,-101.0,-109.0,2.0,-2.0,6.0,-116.0,106.0,-2.0,2.0,0.0,2018-12-12T00:39:11.439306Z
409,3,4,0,1,Los Angeles Kings,True,Buffalo Sabres,False,"[1, 2, 0, 0]","[1, 0, 2, 1]",153.0,-163.0,1.5,-1.5,-168.0,158.0,2.0,-2.0,5.5,105.0,-115.0,5.0,-5.0,0.0,2018-12-11T22:59:00.61756Z
410,6,4,1,0,Edmonton Oilers,True,Colorado Avalanche,False,"[1, 4, 1]","[0, 1, 3]",125.0,-135.0,1.5,-1.5,-222.0,202.0,3.0,-3.0,6.0,113.0,-123.0,2.0,-2.0,0.0,2018-12-11T23:06:32.104343Z
411,4,1,1,0,Toronto Maple Leafs,True,Carolina Hurricanes,False,"[1, 1, 2]","[0, 1, 0]",-130.0,120.0,-1.5,1.5,205.0,-225.0,-15.0,15.0,6.0,-113.0,103.0,-2.0,2.0,0.0,2018-12-12T00:06:23.5239Z
412,3,2,1,0,Vancouver Canucks,True,Columbus Blue Jackets,False,"[0, 0, 3]","[1, 0, 1]",175.0,-190.0,1.5,-1.5,-143.0,133.0,2.0,-2.0,6.0,-123.0,113.0,2.0,-2.0,0.0,2018-12-11T23:28:10.763934Z
413,3,4,0,1,Arizona Coyotes,True,Boston Bruins,False,"[2, 1, 0]","[0, 4, 0]",159.0,-169.0,1.5,-1.5,-160.0,150.0,3.0,-3.0,5.5,112.0,-122.0,2.0,-2.0,0.0,2018-12-11T21:17:15.039821Z
414,3,2,1,0,Vegas Golden Knights,True,New York Islanders,False,"[1, 1, 1]","[1, 1, 0]",-137.0,127.0,-1.5,1.5,185.0,-200.0,-5.0,10.0,6.0,105.0,-115.0,5.0,-5.0,0.0,2018-12-12T23:46:10.745744Z
415,3,6,0,1,Chicago Blackhawks,True,Winnipeg Jets,False,"[0, 2, 1]","[3, 1, 2]",212.0,-232.0,1.5,-1.5,-117.0,107.0,-6.0,6.0,6.5,-108.0,-102.0,-3.0,3.0,0.0,2018-12-12T00:59:15.485133Z
416,3,4,0,1,Florida Panthers,True,St. Louis Blues,False,"[1, 0, 2]","[0, 0, 4]",100.0,-110.0,1.5,-1.5,-265.0,245.0,5.0,-3.0,6.0,-111.0,101.0,-1.0,1.0,0.0,2018-12-12T00:56:06.503243Z
417,4,6,0,1,Carolina Hurricanes,True,Montreal Canadiens,False,"[0, 1, 3]","[0, 2, 4]",105.0,-115.0,1.5,-1.5,-264.0,244.0,1.0,-1.0,6.0,-105.0,-105.0,5.0,-205.0,0.0,2018-12-13T23:33:50.558646Z
418,5,6,0,1,Philadelphia Flyers,True,Calgary Flames,False,"[0, 4, 1, 0]","[1, 2, 2, 1]",151.0,-161.0,1.5,-1.5,-165.0,155.0,5.0,-5.0,6.5,-115.0,105.0,5.0,-5.0,0.0,2018-12-13T00:47:35.516819Z
419,3,6,0,1,Dallas Stars,True,Anaheim Ducks,False,"[0, 3, 0]","[1, 1, 4]",100.0,-110.0,1.5,-1.5,-275.0,250.0,-7.0,3.0,5.5,137.0,-147.0,4.0,-4.0,0.0,2018-12-12T22:57:12.351623Z
420,1,3,0,1,Arizona Coyotes,True,Buffalo Sabres,False,"[1, 0, 0]","[2, 0, 1]",140.0,-150.0,1.5,-1.5,-195.0,180.0,5.0,-5.0,5.5,-115.0,105.0,6.0,-6.0,0.0,2018-12-13T23:45:57.809977Z
421,1,4,0,1,Toronto Maple Leafs,True,Tampa Bay Lightning,False,"[1, 0, 0]","[1, 3, 0]",124.0,-134.0,1.5,-1.5,-210.0,190.0,-10.0,5.0,6.5,-124.0,114.0,1.0,-1.0,0.0,2018-12-14T00:36:51.144908Z
422,1,4,0,1,Los Angeles Kings,True,Columbus Blue Jackets,False,"[1, 0, 0]","[2, 2, 0]",185.0,-200.0,1.5,-1.5,-145.0,135.0,-5.0,5.0,6.0,105.0,-115.0,5.0,-5.0,0.0,2018-12-13T23:46:40.899823Z
423,3,2,1,0,Vegas Golden Knights,True,New York Islanders,False,"[1, 1, 1]","[1, 1, 0]",-137.0,127.0,-1.5,1.5,185.0,-200.0,-5.0,10.0,6.0,105.0,-115.0,5.0,-5.0,0.0,2018-12-12T23:46:10.745744Z
424,3,6,0,1,Pittsburgh Penguins,True,Chicago Blackhawks,False,"[1, 2, 0]","[2, 1, 3]",-160.0,150.0,-1.5,1.5,160.0,-170.0,4.0,-4.0,6.0,-125.0,115.0,2.0,-2.0,0.0,2018-12-12T23:45:37.584366Z
425,4,6,0,1,Carolina Hurricanes,True,Montreal Canadiens,False,"[0, 1, 3]","[0, 2, 4]",105.0,-115.0,1.5,-1.5,-264.0,244.0,1.0,-1.0,6.0,-105.0,-105.0,5.0,-205.0,0.0,2018-12-13T23:33:50.558646Z
426,3,4,0,1,Vancouver Canucks,True,Nashville Predators,False,"[1, 0, 2, 0]","[2, 1, 0, 1]",191.0,-211.0,1.5,-1.5,-135.0,125.0,-5.0,5.0,5.5,-104.0,-106.0,1.0,-1.0,0.0,2018-12-13T23:49:26.354037Z
427,1,5,0,1,Florida Panthers,True,Minnesota Wild,False,"[1, 0, 0]","[1, 2, 2]",148.0,-158.0,1.5,-1.5,-168.0,158.0,1.0,-1.0,6.5,110.0,-120.0,211.0,-11.0,0.0,2018-12-14T00:56:20.49101Z
428,4,2,1,0,Ottawa Senators,True,Detroit Red Wings,False,"[2, 0, 2]","[1, 1, 0]",125.0,-135.0,1.5,-1.5,-203.0,187.0,-1.0,0.0,6.0,100.0,-110.0,210.0,-210.0,0.0,2018-12-14T23:27:30.230386Z
429,6,5,1,0,Washington Capitals,True,Carolina Hurricanes,False,"[1, 3, 1, 0, 1]","[2, 2, 1, 0, 0]",-120.0,110.0,-1.5,1.5,188.0,-205.0,-9.0,12.0,6.5,113.0,-123.0,2.0,-2.0,0.0,2018-12-14T22:34:44.537583Z
430,1,3,0,1,Arizona Coyotes,True,Buffalo Sabres,False,"[1, 0, 0]","[2, 0, 1]",140.0,-150.0,1.5,-1.5,-195.0,180.0,5.0,-5.0,5.5,-115.0,105.0,6.0,-6.0,0.0,2018-12-13T23:45:57.809977Z
431,3,5,0,1,Boston Bruins,True,Pittsburgh Penguins,False,"[0, 1, 2]","[1, 2, 2]",155.0,-165.0,1.5,-1.5,-175.0,165.0,10.0,-5.0,6.0,-107.0,-103.0,3.0,-203.0,0.0,2018-12-14T22:56:42.362842Z
